section,field,value,pages
geology,structures,"['graded bedding', 'flaser bedding', 'cross-bedding', 'fine laminations', 'ripple marks', 'slumps', 'scour and fill']",47
geology,tectonic_setting,shallow marine continental shelf at a delta front setting,47
metadata,title,Geological Study of the Tarkwa Group,48
metadata,year,2002,48
geology,region,Tarkwa,48
geology,rock_types,"['conglomerate', 'meta-conglomerate', 'basalt', 'andesite', 'granodiorite', 'granite', 'volcanoclastic meta-sediments', 'chert', 'greywacke']",48
geology,minerals,"['quartz', 'schist', 'quartzite']",48
geology,structures,"['veins', 'xenoliths', 'pseudotachylyte']",48
geology,tectonic_setting,syn-Eburnean,48
metadata,title,Geological Study of the Markoye Shear Zone,49
metadata,author,Ouedraogo and Prost,49
metadata,location,"Markoye, Burkina Faso",49
geology,region,Markoye,49
geology,rock_types,"['adamellite (granite)', 'pyroxenite-gabbro', 'granodiorite-tonalite', 'dolerite dykes', 'meta-sedimentary rocks', 'sandstone', 'siltstone']",49
geology,minerals,"['gold-bearing sulphides', 'tourmaline']",49
geology,structures,"['NW-trending folds', 'NE-trending folds', 'NE-trending cleavage', 'C-S foliation', 'shears', 'faults', 'mylonite', 'pseudotachylyte veins', 'quartz iron-rich cataclasite veins', 'buck quartz-carbonate veins', 'quartz-chlorite shears']",49
geochronology,rock_unit,Not specified,49
geochronology,evidence,Not specified,49
metallogeny,mineralisation_type,gold-bearing,49
metallogeny,associated_structures,['dilational structures'],49
metallogeny,host_rocks,"['granodiorite-tonalite', 'meta-sedimentary rocks']",49
metallogeny,ore_minerals,['gold-bearing sulphides'],49
metallogeny,alteration,silica-rich,49
metadata,title,Tectonic history and geological features,50
metadata,location,Essakane goldfield,"50, 54"
geology,region,Essakane goldfield,"50, 54"
geology,formation,Birimian sediments,50
geology,rock_types,"['granite', 'granodiorite', 'basalt', 'andesite', 'conglomerate', 'greywackes sandstone', 'shale', 'siltstone', 'pyroxenite', 'gabbro', 'adamellite']",50
geology,minerals,"['quartz', 'chlorite', 'tourmaline']",50
geology,structures,"['MMZ', 'MSZ', 'pseudotachylyte veins', 'quartz-chlorite shear zones']",50
geology,tectonic_setting,medium to high grade metamorphic conditions,50
geochronology,method,heavy or light mineral analysis,50
geochronology,rock_unit,Birimian sediments,50
geochronology,evidence,relative chronology based on stratigraphic sequences,50
geochemistry,context,gold bearing quartz-chlorite shear zones,50
metallogeny,associated_structures,['quartz-chlorite shear zones'],50
metallogeny,host_rocks,['Birimian sediments'],50
metallogeny,alteration,contact metamorphism to hornblende-hornfels facies,50
metadata,title,Development of NW-trending asymmetric folds and thrusts during SW-directed compression,51
geology,rock_types,"['granodiorite', 'tonalite', 'meta-sedimentary rocks', 'dolerite']",51
geology,minerals,"['hornblende', 'chlorite', 'tourmaline', 'gold', 'sulphides']",51
geology,structures,"['NW-trending asymmetric folds (F1)', 'NE-trending foliation (S2)', 'NE-trending folds (F2)', 'Mukosi Mylonite Zone (MMZ)', 'pseudotachylyte veins', 'quartz-chlorite shears']",51
geochronology,method,Absolute geochronology,51
geochronology,age_Ma,Unknown,51
geochronology,error_Ma,Unknown,51
geochronology,evidence,Confusing geochronological data,51
geochemistry,value,Unknown,"51, 54"
geochemistry,context,Spatial and temporal relationship with quartz-chlorite shears,51
metallogeny,mineralisation_type,Gold mineralization,51
metallogeny,associated_structures,"['quartz-chlorite shears', 'alteration zones']",51
metallogeny,host_rocks,['meta-sedimentary rocks'],51
metallogeny,ore_minerals,"['gold', 'sulphides']",51
metallogeny,alteration,Contact metamorphism to hornblende-hornfels facies,51
geology,rock_types,"['Birimian sequences', 'TTG suite plutons', 'granite suite rocks', 'tonalite suite rocks']",52
geology,tectonic_setting,syn- to post-Eburnean Orogeny,52
geochronology,evidence,Ages for Tarkwa Group are the same as Birimian sequences.,52
metallogeny,host_rocks,['tonalite'],52
metadata,title,Conclusion,54
geology,formation,Birimian volcanosedimentary and sedimentary sequences,54
geology,rock_types,"['granodiorite-tonalite', 'pyroxenite-gabbro', 'granite (adamellite)', 'dolerite']",54
geology,minerals,"['hornblende', 'quartz', 'tourmaline']",54
geology,structures,"['Markoye Shear Zone (MSZ)', 'mylonite', 'pseudotachylyte veins', 'L-tectonites', 'quartz iron-rich cataclasite veins', 'quartz-carbonate veins', 'asymmetric NW-trending folds', 'NE-trending folds']",54
geology,tectonic_setting,"pre-, syn-, to post- Eburnean Orogeny",54
geochronology,evidence,related to the Eburnean Orogeny,54
geochemistry,analyte,sulphides,54
geochemistry,context,breccia veins,54
metallogeny,associated_structures,['Markoye Shear Zone (MSZ)'],54
metallogeny,alteration,greenschist metamorphic facies,54
metadata,title,La “ceinture” protérozoïque inférieur de Boromo-Goren (Burkina Faso): un exemple d’interférence entre deux phases transcurrentes éburnéennes,57
metadata,author,"Feybesse, J.L., Milési, J.P., Ouedraogo, M.F., Prost, A.",57
metadata,institution,Comptes Rendus de L’Académie des Sciences,57
geology,formation,Boromo-Goren,57
geology,structures,['transcurrent'],57
geology,tectonic_setting,Eburnean,57
metadata,title,"Vein mineralization at the Damang gold mine, Ghana: controls on mineralization",60
metadata,author,"Tunks, A.J., Selley, D., Rogers, J.R., Brabham, G.",60
metadata,location,Ghana,60
geology,region,Ghana,60
geology,formation,Greywacke-siltsone sequence,61
geology,rock_types,"['Subcrop, siltstone', 'Greywacke-siltsone sequence', 'Schistosed sandstone', 'Volcanoclastic greywacke', 'Massive volcanoclastic greywacke']",61
geology,structures,"['Bedding', 'Cleavage', 'Quartz vein', 'Dyke']",61
geology,rock_types,"['Volcanoclastic greywacke', 'Massive volcanoclastic greywacke', 'Felsic Granite', 'Gabbro dyke', 'Hornfels', 'Buck-quartz carbonate vein']",62
geology,structures,"['DYKE', 'E', 'BEDDING', 'TREND', 'CLEAVAGE', 'LINEATION']",62
geology,rock_types,"['Buck-quartz carbonate vein', 'Chlorite mica schist']",63
geology,structures,"['CLEAVAGE', 'FAULT', 'LINEATION', 'TREND']",63
geology,rock_types,['Buck-quartz carbonate vein'],"64, 76"
geology,structures,['LINEATION'],"64, 67"
geology,rock_types,"['Pyroxenite', 'Gabbro', 'Gabbro dyke', 'Contact aureole hornfels', 'Hornfels', 'Laterite', 'Cataclasite']",65
geology,rock_types,"['Chlorite quartz mica schist', 'Pyroxenite', 'Laterite', 'Meta-sediments']",66
geology,structures,"['LINEATION', 'CLEAVAGE']",66
geology,rock_types,"['Buck-quartz carbonate vein', 'Meta-sediments']",67
geology,rock_types,"['Buck-quartz carbonate vein', 'Gabbro', 'Laterite', 'Meta-lithogreywacke', 'Hornblende Hornfels', 'Spotted Hornfels', 'Meta-gritvolcanoclastic greywacke', 'Volcanoclastic greywacke']",68
geology,structures,"['CLEAVAGE', 'TREND']",68
geology,rock_types,"['Hornfels', 'sandstone', 'breccia', 'Gabbro-Pyroxenite', 'Granodiorite', 'Gabbro-norite']",69
geology,structures,"['CLEAVAGE', 'FAULT', 'LINEATION', 'ELONGATION']",69
geology,rock_types,['Granodiorite'],70
geology,structures,"['CLEAVAGE', 'LINEATION', 'FAULT']","70, 72"
geology,formation,Mylonite-ultramylonite zone,71
geology,rock_types,"['Mylonite', 'Ultramylonite', 'Mylonitised granitoid']",71
geology,structures,"['CLEAVAGE', 'LINEATION']",71
geology,rock_types,['Mylonitised granitoid'],72
metadata,title,Geological Observations,"73, 76"
metadata,supervisor,N/A,73
metadata,institution,N/A,73
metadata,location,N/A,73
geology,region,N/A,73
geology,formation,N/A,73
geology,rock_types,"['Adamelite granite', 'Tambao granodiorite', 'Buck-quartz carbonate vein', 'Chlorite mica schist', 'Mylonitised ??', 'Tonalite', 'Granodiorite', 'Laterite', 'Hornfels', 'Gabbro', 'Norite']",73
geology,structures,"['LINEATION', 'CLEAVAGE', 'TREND', 'ELONGATION']",73
geology,tectonic_setting,N/A,73
geochronology,sample_id,N/A,73
geochronology,method,N/A,73
geochronology,rock_unit,N/A,73
geochronology,evidence,N/A,73
geochemistry,sample_id,N/A,73
geochemistry,analyte,N/A,73
geochemistry,unit,N/A,73
geochemistry,method,N/A,73
geochemistry,context,N/A,73
metallogeny,mineralisation_type,N/A,73
metallogeny,alteration,N/A,73
geology,rock_types,"['Norite', 'Laterite', 'Mylonitised', 'Noritic granodiorite-tonalite', 'Granodiorite-tonalite', 'Proto L-tectonite zone']",74
geology,structures,"['CLEAVAGE', 'LINEATION', 'TREND']",74
geology,rock_types,"['Granodiorite-tonalite', 'Chlorite-quartz mica schist', 'Schistosed', 'Quartz-carbonate vein', 'Tonalite', 'Mylonite']",75
geology,structures,"['CLEAVAGE', 'LINEATION', 'TREND', 'ELONGATION']",75
metadata,location,Unknown,76
geology,region,Unknown,76
geology,formation,Mylonitised Adamelite granite,76
geology,rock_types,"['Mylonitised Adamelite granite', 'Siltstone', 'Sandstone', 'Greywacke', 'Shale']",76
geology,structures,"['CLEAVAGE', 'FRACTURE', 'LINEATION', 'BEDDING', 'TREND']",76
geology,tectonic_setting,Unknown,76
geology,formation,Buck-quartz carbonate vein,76
geology,structures,"['TREND', 'LINEATION']",76
geology,rock_types,"['Buck-quartz carbonate vein', 'Sandstone greywacke', 'Siltstone']",77
geology,structures,"['CLEAVAGE', 'TREND', 'LINEATION']",77
geology,rock_types,"['Sandstone', 'greywacke', 'siltstone', 'volcanoclastic']",78
geology,structures,"['anticline', 'fault']",78
